trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.0}",20,4,-79.78278606099929,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.005, 'e': 0.9950124791926823}",20,0,-128.89197279422385,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.005, 'e': 0.9900498337491681}",30,0,-169.76350473684295,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.005, 'e': 0.9851119396030626}",20,0,-157.8031797095046,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.005, 'e': 0.9801986733067553}",30,0,-158.27058552520634,"{0: 16, 1: 2, 2: 7, 3: 5, 4: 0}",0
6,False,"{'a': 0.005, 'e': 0.9753099120283326}",25,0,-122.66437525308046,"{0: 10, 1: 6, 2: 8, 3: 1, 4: 0}",0
7,False,"{'a': 0.005, 'e': 0.9704455335485082}",30,0,-194.4172987020231,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
8,False,"{'a': 0.005, 'e': 0.9656054162575665}",30,0,-212.3415533624973,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
9,False,"{'a': 0.005, 'e': 0.9607894391523232}",25,0,-163.2491461012562,"{0: 10, 1: 5, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.005, 'e': 0.9559974818331}",30,4,-101.55224213189942,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 1}",1
11,False,"{'a': 0.005, 'e': 0.951229424500714}",30,0,-98.27948182786739,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
12,False,"{'a': 0.005, 'e': 0.9464851479534838}",25,0,-83.35853283981368,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.005, 'e': 0.9417645335842487}",25,0,-232.90363812111178,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
14,False,"{'a': 0.005, 'e': 0.9370674633774034}",30,0,-160.21484512591854,"{0: 19, 1: 1, 2: 5, 3: 4, 4: 1}",0
15,False,"{'a': 0.005, 'e': 0.9323938199059483}",20,0,-74.43770529912189,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.005, 'e': 0.9277434863285529}",20,0,-94.40126028832526,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.005, 'e': 0.9231163463866358}",25,0,-216.09778972694156,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
18,False,"{'a': 0.005, 'e': 0.9185122844014574}",25,16,-7.637582626444222,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.005, 'e': 0.9139311852712282}",20,0,-85.40865249453348,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.005, 'e': 0.9093729344682314}",20,0,-108.70145120514988,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.005, 'e': 0.9048374180359595}",20,0,-105.87935343135219,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.005, 'e': 0.9003245225862656}",25,0,-98.50055036025648,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.005, 'e': 0.8958341352965282}",20,0,-68.16411619596855,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.005, 'e': 0.8913661439068313}",20,0,-85.14389051021402,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.005, 'e': 0.8869204367171575}",25,15,-49.967731740631386,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.005, 'e': 0.8824969025845955}",25,5,-42.673235612874045,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
27,False,"{'a': 0.005, 'e': 0.8780954309205613}",25,8,-77.6607252185395,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
28,False,"{'a': 0.005, 'e': 0.8737159116880344}",20,0,-81.62365456845396,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.005, 'e': 0.8693582353988059}",20,0,-32.78170083855342,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.005, 'e': 0.8650222931107413}",25,0,-144.28953922322304,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
31,False,"{'a': 0.005, 'e': 0.8607079764250578}",25,0,-100.89225153644367,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
32,False,"{'a': 0.005, 'e': 0.8564151774836135}",35,10,-45.872327926380514,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",1
33,False,"{'a': 0.005, 'e': 0.8521437889662113}",30,7,-55.91668739631636,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 0}",1
34,False,"{'a': 0.005, 'e': 0.8478937040879159}",30,0,-111.00737270960047,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
35,False,"{'a': 0.005, 'e': 0.8436648165963837}",20,0,-40.92974417188381,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
36,False,"{'a': 0.005, 'e': 0.8394570207692074}",20,0,-93.34100010858384,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
37,False,"{'a': 0.005, 'e': 0.835270211411272}",20,12,-35.26772744562595,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.005, 'e': 0.8311042838521256}",20,0,-156.3031010515037,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
39,False,"{'a': 0.005, 'e': 0.8269591339433623}",25,0,-45.32042751039039,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.005, 'e': 0.8228346580560184}",20,0,-91.02447753649274,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.005, 'e': 0.8187307530779818}",35,5,-52.30255858635388,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",1
42,False,"{'a': 0.005, 'e': 0.8146473164114145}",25,0,-227.25966176248716,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
43,False,"{'a': 0.005, 'e': 0.8105842459701871}",25,9,-56.27475847126137,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 0}",1
44,False,"{'a': 0.005, 'e': 0.8065414401773269}",30,0,-209.29915008669474,"{0: 14, 1: 5, 2: 8, 3: 0, 4: 3}",0
45,False,"{'a': 0.005, 'e': 0.8025187979624785}",20,0,-35.76132515999018,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.005, 'e': 0.7985162187593771}",20,10,-27.593831330348756,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.005, 'e': 0.794533602503334}",25,0,-198.26474934882714,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 4}",0
48,False,"{'a': 0.005, 'e': 0.7905708496287356}",25,0,-179.52147040993933,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
49,False,"{'a': 0.005, 'e': 0.7866278610665535}",20,0,-126.05904145572929,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
50,False,"{'a': 0.005, 'e': 0.7827045382418681}",20,0,-108.03399375630578,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
51,False,"{'a': 0.005, 'e': 0.7788007830714049}",20,12,-7.000541936117613,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.005, 'e': 0.774916497961081}",20,0,-72.75116493765566,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.005, 'e': 0.7710515858035663}",25,0,-100.77667374776335,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 0.005, 'e': 0.7672059499758557}",20,0,-111.33299318841974,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.005, 'e': 0.7633794943368531}",25,0,-79.09540971737441,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.005, 'e': 0.7595721232249685}",30,6,-59.56008189225919,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 1}",1
57,False,"{'a': 0.005, 'e': 0.7557837414557255}",30,0,-108.86741743179398,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
58,False,"{'a': 0.005, 'e': 0.7520142543193826}",20,11,1.8382727405319559,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.005, 'e': 0.7482635675785653}",20,0,-130.50983847336548,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
60,False,"{'a': 0.005, 'e': 0.7445315874659094}",20,0,-103.11770534369475,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
61,False,"{'a': 0.005, 'e': 0.7408182206817179}",25,10,15.597753991830714,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.005, 'e': 0.7371233743916278}",25,0,-29.67301477345002,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.005, 'e': 0.7334469562242892}",25,2,-33.054417808064834,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.005, 'e': 0.7297888742690568}",20,0,-62.318008651746936,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
65,False,"{'a': 0.005, 'e': 0.7261490370736909}",25,16,-47.98684218328016,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
66,False,"{'a': 0.005, 'e': 0.7225273536420722}",25,3,-40.36179171766,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
67,False,"{'a': 0.005, 'e': 0.7189237334319262}",20,6,-8.107794058780009,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.005, 'e': 0.7153380863525599}",25,0,-76.39898364368679,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
69,False,"{'a': 0.005, 'e': 0.7117703227626097}",30,19,-36.354150107752716,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.005, 'e': 0.7082203534678}",25,0,-169.88815133376835,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
71,False,"{'a': 0.005, 'e': 0.7046880897187134}",20,0,-123.65389716119014,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
72,False,"{'a': 0.005, 'e': 0.7011734432085724}",30,0,-17.181966282790068,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
73,False,"{'a': 0.005, 'e': 0.697676326071031}",20,0,-10.394616036951934,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.005, 'e': 0.6941966508779789}",30,3,-152.94159830894682,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 4}",1
75,False,"{'a': 0.005, 'e': 0.6907343306373547}",20,8,-0.25021774657346985,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.005, 'e': 0.6872892787909722}",25,0,-193.5809324692075,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
77,False,"{'a': 0.005, 'e': 0.6838614092123558}",20,0,-103.0595909717187,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
78,False,"{'a': 0.005, 'e': 0.6804506362045877}",20,0,-87.92217963909417,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
79,False,"{'a': 0.005, 'e': 0.6770568744981647}",35,0,-155.01176610182856,"{0: 26, 1: 0, 2: 5, 3: 1, 4: 3}",0
80,False,"{'a': 0.005, 'e': 0.6736800392488677}",20,12,12.839142792787184,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.005, 'e': 0.6703200460356393}",25,0,-7.191253320198556,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
82,False,"{'a': 0.005, 'e': 0.6669768108584744}",20,12,-84.69274734546755,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
83,False,"{'a': 0.005, 'e': 0.6636502501363194}",20,16,6.848147591606793,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.005, 'e': 0.6603402807049829}",20,0,-135.6757677254665,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
85,False,"{'a': 0.005, 'e': 0.6570468198150567}",20,0,-134.62173471453175,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
86,False,"{'a': 0.005, 'e': 0.6537697851298473}",25,0,-195.59850077962062,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
87,False,"{'a': 0.005, 'e': 0.6505090947233165}",25,0,-45.559772712870384,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.005, 'e': 0.6472646670780347}",25,11,-43.5119051730011,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
89,False,"{'a': 0.005, 'e': 0.6440364210831414}",20,2,-35.766585445267474,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 0}",1
90,False,"{'a': 0.005, 'e': 0.6408242760323187}",20,0,-40.05595088575324,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.005, 'e': 0.6376281516217733}",20,0,-53.96990038839587,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.005, 'e': 0.6344479679482282}",20,0,-104.61606126879028,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
93,False,"{'a': 0.005, 'e': 0.631283645506926}",20,2,-79.70419808423487,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
94,False,"{'a': 0.005, 'e': 0.6281351051896408}",30,0,-65.73650257432074,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
95,False,"{'a': 0.005, 'e': 0.6250022682827008}",20,0,-55.272494821387355,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.005, 'e': 0.62188505646502}",20,0,-46.24788361628496,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
97,False,"{'a': 0.005, 'e': 0.6187833918061408}",25,0,-116.40985053666653,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
98,False,"{'a': 0.005, 'e': 0.6156971967642851}",30,5,-79.8718648528268,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",1
99,False,"{'a': 0.005, 'e': 0.6126263941844161}",20,0,-41.777616749257824,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.005, 'e': 0.6095709072963093}",20,11,-8.263797723545837,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.005, 'e': 0.6065306597126334}",25,0,-133.97847014090317,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
102,False,"{'a': 0.005, 'e': 0.6035055754270405}",30,0,-133.12135441746415,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
103,False,"{'a': 0.005, 'e': 0.6004955788122659}",20,0,-133.8255997684449,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
104,False,"{'a': 0.005, 'e': 0.5975005946182375}",20,0,-109.60369607580385,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
105,False,"{'a': 0.005, 'e': 0.5945205479701944}",20,3,14.144978876919085,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.005, 'e': 0.5915553643668151}",25,0,-77.60444588463794,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
107,False,"{'a': 0.005, 'e': 0.5886049696783552}",20,0,-32.2314595126108,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
108,False,"{'a': 0.005, 'e': 0.5856692901447937}",20,0,-33.54772890617034,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.005, 'e': 0.5827482523739896}",20,0,-70.7889424490639,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
